VBZ	2575	0.00204321
VBP	771	0.00061177
the	78853	0.06256839
,	51121	0.04056356
<s>	50001	0.03967486
UNK	50001	0.03967486
</s>	50001	0.03967486
.	49814	0.03952648
NNP	35257	0.02797577
of	33451	0.02654275
and	27552	0.021862
is	26772	0.02124308
a	23771	0.01886185
NN	23654	0.01876901
to	22809	0.01809852
in	18978	0.01505869
JJ	16773	0.01330906
NNS	14155	0.01123173
that	10974	0.00870766
are	9929	0.00787848
as	7775	0.00616932
for	7613	0.00604077
this	6458	0.0051243
with	6266	0.00497195
on	6224	0.00493863
(	6080	0.00482437
)	5798	0.00460061
it	5110	0.00405469
by	4863	0.0038587
an	4761	0.00377776
's	4692	0.00372301
from	4615	0.00366192
not	4480	0.0035548
or	4293	0.00340642
be	4172	0.0033104
has	3980	0.00315806
which	3804	0.0030184
at	3594	0.00285177
``	3473	0.00275576
have	3362	0.00266768
''	3191	0.002532
but	3172	0.00251692
VBG	3138	0.00248994
i	3048	0.00241853
one	2867	0.00227491
his	2783	0.00220826
other	2620	0.00207892
article	2563	0.00203369
their	2501	0.0019845
VBN	2490	0.00197577
its	2464	0.00195514
also	2385	0.00189245
VB	2236	0.00177422
RB	2208	0.00175201
all	2183	0.00173217
more	2059	0.00163378
if	1999	0.00158617
CD	1958	0.00155364
they	1866	0.00148064
only	1810	0.0014362
was	1809	0.00143541
some	1747	0.00138621
can	1693	0.00134336
most	1684	0.00133622
;	1674	0.00132829
about	1669	0.00132432
when	1640	0.00130131
than	1589	0.00126084
include	1586	0.00125846
no	1571	0.00124656
these	1561	0.00123862
he	1506	0.00119498
such	1495	0.00118625
two	1463	0.00116086
people	1459	0.00115769
who	1456	0.00115531
many	1335	0.0010593
use	1278	0.00101407
where	1269	0.00100693
so	1263	0.00100217
first	1238	0.00098233
her	1228	0.0009744
there	1172	0.00092996
you	1139	0.00090378
new	1116	0.00088553
name	1058	0.0008395
while	1041	0.00082601
into	1036	0.00082205
between	1035	0.00082125
been	1030	0.00081729
each	1023	0.00081173
time	1017	0.00080697
because	989	0.00078475
up	974	0.00077285
very	968	0.00076809
do	957	0.00075936
used	952	0.00075539
them	942	0.00074746
what	932	0.00073952
-	925	0.00073397
any	918	0.00072842
however	914	0.00072524
well	912	0.00072366
will	910	0.00072207
area	909	0.00072127
work	898	0.00071255
school	895	0.00071017
out	885	0.00070223
part	883	0.00070064
over	880	0.00069826
like	875	0.0006943
through	858	0.00068081
both	850	0.00067446
may	849	0.00067367
after	837	0.00066414
now	834	0.00066176
would	830	0.00065859
'	830	0.00065859
my	819	0.00064986
being	813	0.0006451
same	813	0.0006451
main	792	0.00062844
page	774	0.00061415
then	761	0.00060384
sources	757	0.00060067
city	757	0.00060067
articles	753	0.00059749
just	728	0.00057765
notable	719	0.00057051
state	706	0.0005602
system	703	0.00055782
way	698	0.00055385
another	695	0.00055147
often	694	0.00055068
still	693	0.00054988
wikipedia	690	0.0005475
game	679	0.00053877
number	677	0.00053719
even	667	0.00052925
different	665	0.00052767
those	663	0.00052608
should	657	0.00052132
three	655	0.00051973
much	655	0.00051973
him	649	0.00051497
high	627	0.00049751
known	626	0.00049672
since	624	0.00049513
does	621	0.00049275
information	620	0.00049196
point	613	0.0004864
we	611	0.00048482
how	603	0.00047847
although	599	0.0004753
make	599	0.0004753
VBD	594	0.00047133
several	591	0.00046895
includes	591	0.00046895
think	589	0.00046736
show	581	0.00046101
available	581	0.00046101
during	573	0.00045466
large	572	0.00045387
place	571	0.00045308
were	567	0.0004499
film	562	0.00044594
contains	561	0.00044514
list	559	0.00044356
long	558	0.00044276
your	555	0.00044038
world	550	0.00043641
example	547	0.00043403
town	546	0.00043324
subject	542	0.00043007
group	541	0.00042927
small	540	0.00042848
under	535	0.00042451
good	535	0.00042451
n't	535	0.00042451
within	532	0.00042213
book	531	0.00042134
form	528	0.00041896
here	526	0.00041737
before	523	0.00041499
including	523	0.00041499
important	520	0.00041261
common	520	0.00041261
history	518	0.00041102
though	517	0.00041023
around	515	0.00040864
seems	513	0.00040706
features	510	0.00040468
station	510	0.00040468
she	509	0.00040388
second	508	0.00040309
usually	506	0.0004015
students	506	0.0004015
fact	499	0.00039595
own	496	0.00039357
north	495	0.00039277
water	494	0.00039198
members	493	0.00039119
states	490	0.00038881
shows	489	0.00038801
source	483	0.00038325
current	483	0.00038325
local	476	0.0003777
year	476	0.0003777
see	472	0.00037452
south	472	0.00037452
line	471	0.00037373
years	467	0.00037056
back	462	0.00036659
appears	462	0.00036659
case	458	0.00036341
image	456	0.00036183
original	452	0.00035865
similar	449	0.00035627
life	447	0.00035469
user	446	0.00035389
album	443	0.00035151
1	443	0.00035151
population	436	0.00034596
without	434	0.00034437
public	434	0.00034437
version	433	0.00034358
community	432	0.00034278
problem	429	0.0003404
song	428	0.00033961
need	424	0.00033644
national	423	0.00033564
river	423	0.00033564
needs	422	0.00033485
home	421	0.00033406
process	421	0.00033406
road	420	0.00033326
company	418	0.00033168
support	417	0.00033088
had	412	0.00032691
section	411	0.00032612
person	411	0.00032612
made	410	0.00032533
village	408	0.00032374
team	407	0.00032295
player	407	0.00032295
family	406	0.00032215
united	406	0.00032215
]	405	0.00032136
church	405	0.00032136
level	405	0.00032136
major	402	0.00031898
me	397	0.00031501
end	396	0.00031422
2	394	0.00031263
language	392	0.00031104
music	391	0.00031025
take	389	0.00030866
species	389	0.00030866
site	389	0.00030866
due	387	0.00030708
side	386	0.00030628
means	386	0.00030628
day	385	0.00030549
whether	383	0.0003039
keep	382	0.00030311
every	380	0.00030152
story	376	0.00029835
series	375	0.00029756
based	375	0.00029756
whose	374	0.00029676
four	374	0.00029676
building	373	0.00029597
research	373	0.00029597
above	370	0.00029359
get	369	0.00029279
general	368	0.000292
few	367	0.00029121
category	366	0.00029041
comes	365	0.00028962
makes	361	0.00028645
district	360	0.00028565
right	360	0.00028565
less	360	0.00028565
park	358	0.00028407
itself	356	0.00028248
along	353	0.0002801
areas	352	0.00027931
rather	352	0.00027931
consists	352	0.00027931
house	350	0.00027772
takes	350	0.00027772
old	349	0.00027693
set	347	0.00027534
given	347	0.00027534
open	346	0.00027454
term	345	0.00027375
order	345	0.00027375
single	344	0.00027296
our	343	0.00027216
band	343	0.00027216
best	343	0.00027216
american	341	0.00027058
go	340	0.00026978
[	340	0.00026978
called	340	0.00026978
could	339	0.00026899
generally	337	0.0002674
works	334	0.00026502
against	333	0.00026423
little	332	0.00026344
either	332	0.00026344
editors	332	0.00026344
found	332	0.00026344
route	331	0.00026264
range	331	0.00026264
service	330	0.00026185
000	330	0.00026185
provide	330	0.00026185
english	329	0.00026106
black	328	0.00026026
notability	327	0.00025947
government	327	0.00025947
provides	326	0.00025867
too	326	0.00025867
various	325	0.00025788
children	324	0.00025709
west	324	0.00025709
find	324	0.00025709
using	323	0.00025629
currently	323	0.00025629
present	322	0.0002555
university	321	0.00025471
enough	321	0.00025471
white	320	0.00025391
man	320	0.00025391
times	318	0.00025233
reason	317	0.00025153
modern	317	0.00025153
type	315	0.00024995
uses	313	0.00024836
power	313	0.00024836
program	313	0.00024836
remains	312	0.00024757
title	311	0.00024677
content	311	0.00024677
believe	308	0.00024439
human	307	0.0002436
possible	307	0.0002436
down	303	0.00024042
development	301	0.00023884
project	301	0.00023884
events	300	0.00023804
us	299	0.00023725
east	298	0.00023646
3	298	0.00023646
law	297	0.00023566
material	295	0.00023408
century	295	0.00023408
evidence	294	0.00023328
significant	294	0.00023328
great	294	0.00023328
far	294	0.00023328
least	293	0.00023249
likely	293	0.00023249
primary	291	0.0002309
international	291	0.0002309
today	291	0.0002309
say	290	0.00023011
others	290	0.00023011
things	290	0.00023011
last	289	0.00022932
center	288	0.00022852
better	288	0.00022852
character	287	0.00022773
early	286	0.00022694
change	286	0.00022694
body	286	0.00022694
off	282	0.00022376
issue	282	0.00022376
space	282	0.00022376
county	281	0.00022297
design	279	0.00022138
country	278	0.00022059
actually	278	0.00022059
until	278	0.00022059
region	277	0.00021979
sometimes	276	0.000219
island	275	0.00021821
players	275	0.00021821
later	274	0.00021741
systems	274	0.00021741
says	273	0.00021662
free	272	0.00021583
delete	272	0.00021583
play	271	0.00021503
help	271	0.00021503
almost	270	0.00021424
begins	270	0.00021424
street	268	0.00021265
field	268	0.00021265
know	266	0.00021107
red	265	0.00021027
thus	264	0.00020948
reliable	263	0.00020869
become	263	0.00020869
written	263	0.00020869
women	263	0.00020869
short	263	0.00020869
result	262	0.00020789
according	262	0.00020789
NNPS	262	0.00020789
video	261	0.0002071
among	261	0.0002071
must	261	0.0002071
central	261	0.0002071
top	260	0.00020631
allows	259	0.00020551
word	259	0.00020551
value	259	0.00020551
goes	258	0.00020472
once	258	0.00020472
policy	257	0.00020392
data	257	0.00020392
having	256	0.00020313
light	255	0.00020234
war	254	0.00020154
services	254	0.00020154
said	253	0.00020075
popular	252	0.00019996
reference	252	0.00019996
discussion	251	0.00019916
third	251	0.00019916
de	251	0.00019916
men	250	0.00019837
real	250	0.00019837
thing	249	0.00019758
editor	249	0.00019758
theory	248	0.00019678
run	248	0.00019678
live	246	0.0001952
period	246	0.0001952
specific	245	0.0001944
question	243	0.00019282
social	243	0.00019282
feature	242	0.00019202
groups	241	0.00019123
probably	241	0.00019123
becomes	240	0.00019044
former	239	0.00018964
names	239	0.00018964
per	239	0.00018964
schools	238	0.00018885
runs	238	0.00018885
full	238	0.00018885
appear	237	0.00018806
related	236	0.00018726
party	236	0.00018726
five	236	0.00018726
individual	236	0.00018726
nature	236	0.00018726
head	236	0.00018726
land	236	0.00018726
always	236	0.00018726
users	235	0.00018647
college	235	0.00018647
located	235	0.00018647
making	235	0.00018647
particular	234	0.00018567
further	233	0.00018488
air	233	0.00018488
lake	233	0.00018488
points	233	0.00018488
certain	232	0.00018409
higher	232	0.00018409
young	231	0.00018329
gives	231	0.00018329
view	231	0.00018329
lower	231	0.00018329
already	230	0.0001825
references	230	0.0001825
near	229	0.00018171
club	229	0.00018171
control	229	0.00018171
pages	229	0.00018171
model	229	0.00018171
structure	228	0.00018091
clear	228	0.00018091
claim	227	0.00018012
examples	227	0.00018012
characters	227	0.00018012
standard	227	0.00018012
quite	226	0.00017933
death	225	0.00017853
production	225	0.00017853
course	225	0.00017853
u	224	0.00017774
low	223	0.00017695
next	223	0.00017695
style	223	0.00017695
especially	223	0.00017695
countries	222	0.00017615
text	222	0.00017615
size	222	0.00017615
date	222	0.00017615
class	221	0.00017536
position	221	0.00017536
note	221	0.00017536
issues	220	0.00017457
access	220	0.00017457
longer	220	0.00017457
role	219	0.00017377
therefore	219	0.00017377
come	219	0.00017377
why	219	0.00017377
give	218	0.00017298
art	218	0.00017298
edit	217	0.00017219
games	217	0.00017219
able	217	0.00017219
traditional	216	0.00017139
look	216	0.00017139
continues	216	0.00017139
total	213	0.00016901
ends	213	0.00016901
member	213	0.00016901
business	212	0.00016822
railway	212	0.00016822
something	211	0.00016742
purpose	211	0.00016742
deletion	211	0.00016742
close	211	0.00016742
strong	210	0.00016663
seem	210	0.00016663
largest	210	0.00016663
books	209	0.00016584
talk	209	0.00016584
interest	209	0.00016584
complex	209	0.00016584
exist	207	0.00016425
natural	207	0.00016425
yet	206	0.00016346
museum	206	0.00016346
addition	206	0.00016346
event	206	0.00016346
final	206	0.00016346
exists	206	0.00016346
might	205	0.00016266
surface	205	0.00016266
energy	204	0.00016187
named	204	0.00016187
really	204	0.00016187
edits	203	0.00016108
link	203	0.00016108
parts	203	0.00016108
am	203	0.00016108
season	203	0.00016108
northern	203	0.00016108
culture	202	0.00016028
below	201	0.00015949
idea	201	0.00015949
meaning	200	0.0001587
matter	200	0.0001587
network	200	0.0001587
together	200	0.0001587
images	199	0.0001579
recent	199	0.0001579
particularly	199	0.0001579
forms	199	0.0001579
typically	198	0.00015711
ground	198	0.00015711
days	198	0.00015711
western	198	0.00015711
lead	198	0.00015711
method	198	0.00015711
football	198	0.00015711
search	197	0.00015632
topic	197	0.00015632
comment	197	0.00015632
account	196	0.00015552
website	196	0.00015552
cases	196	0.00015552
following	195	0.00015473
songs	194	0.00015394
official	194	0.00015394
instead	194	0.00015394
special	193	0.00015314
centre	193	0.00015314
considered	193	0.00015314
covers	192	0.00015235
4	191	0.00015155
force	191	0.00015155
problems	191	0.00015155
5	191	0.00015155
10	191	0.00015155
offers	191	0.00015155
science	191	0.00015155
suggests	191	0.00015155
